label,role,id
"Gould, Frank Jay",collector,76
"Graham, Malcolm",collector,77
"Harbeck, Charles T.",collector,78
"Harding, J. Horace",collector,79
"Harper, Fletcher, Jr.",collector,80
"Harper, Joseph Abner",collector,81
"Hartley, Marcellus",collector,82
"Hill, James N.",collector,83
"Hine, Francis L.",collector,84
"Hoagland, Joseph Christoffel",collector,85
"Holmes, John Grier",collector,86
"Horton, Henry Lawrence",collector,87
"Hotchkiss, Horace L.",collector,88
"Hoyt, Charles Albert",collector,89
"Huntington, Collis P.",collector,90
"Huntington, Henry Edwards",collector,91
"Hyde, Clarence M.",collector,92
"Hyde, Henry Baldwin",collector,93
"Inglis, James Smith",collector,94
"Ives, Brayton C.",collector,95
"Jackson, Edwin E.",collector,96
"Jennings, Frederick Beach",collector,97
"King, David H., Jr.",collector,98
"Kirby, Thomas E.",collector,99
"Lawrence, Cyrus I.",collector,100
"Layton, Frederick",collector,101
"Leighton, George E.",collector,102
"Mather, Samuel",collector,103
"McGarrah, G. W.",collector,104
"Mellon, Andrew W.",collector,105
"Milbank, Jeremiah",collector,106
"Milliken, Seth Mellen",collector,107
"Mills, Darius Ogden",collector,108
"Moore, William Henry",collector,109
"Morgan, J. Pierpont",collector,110
"Oliver, George Tener",collector,111
"Oliver, Henry W.",collector,112
"Peavey, Frank Hutchinson",collector,113
"Penfold, Edmund",collector,114
"Peters, Samuel T.",collector,115
"Raynor, James A.",collector,116
"Riker, John Lawrence",collector,117
"Roberts, Marshall O.",collector,118
"Rockefeller, William Avery Jr.",collector,119
"Roebling, Ferdinand W.",collector,120
"Sabin, Charles H.",collector,121
"Salter, Thomas P.",collector,122
"Schwab, Charles M.",collector,123
"Sloane, William Douglas",collector,124
"Smith, Charles Stewart",collector,125
"Smith, Theodore E.",collector,126
"Stanford, Leland",collector,127
"Stewart, Lispenard",collector,128
"Stillman, James",collector,129
"Terry, John T.",collector,130
"Thomas, Seth Edward",collector,131
"Thorne, Samuel P.",collector,132
"Tousey, Sinclair",collector,133
"Tuckerman, Lucius",collector,134
"Valentine, Lawson",collector,135
"Vanderbilt, Cornelius II",collector,136
"Ward, Leslie Dodd",collector,137
"Warren, John Hobart",collector,138
"Willets, Howard",collector,139
"Gunsaulus, Dr. Frank W.",collector,140
"Allen, George L.",collector,141
"Astor, William",collector,143
"Barger, Samuel F.",collector,144
"Bartlett, Francis",collector,145
"Bennett, James Gordon Jr.",collector,146
"Bixby, William K.",collector,147
"Catlin, Daniel",collector,148
"Clark, George Crawford",collector,149
"Comstock, William C.",collector,150
"Deering, Charles",collector,151
"Gould, Helen",collector,153
"Harkness, Edward",collector,154
"Healy, Aaron Augustus",collector,155
"Hutchinson, William J.",collector,156
"Jewett, William Kennon",collector,157
"Johnson, John G.",collector,158
"Lewisohn, Adolph",collector,159
"Martin, Bradley",collector,160
"McAlpin, David H.",collector,161
"Morgan, J. Pierpont, Jr.",collector,162
"Nickerson, Samuel M.",collector,163
"Ream, Norman B.",collector,164
"Roloson, Robert W.",collector,165
"Russel, Horace",collector,166
"Ryerson, Martin A.",collector,167
"Spaulding, William S.",collector,168
"Spoor, John A.",collector,169
"Vanderbilt, William Kissam",collector,170
"Walker, E. Chandler",collector,171
"Walters, Henry",collector,172
"White, George Robert",collector,173
"Lockwood, Luke Vincent",collector,174
"Loeser, Frederick",collector,175
"De Silver, Carll H.",collector,176
"Berwind, Edward Julius",collector,177
"Gary, Elbert H.",collector,178
"Gould, George Jay I",collector,179
"Harkness, Charles W.",collector,180
"Jennings, Walter",collector,181
"Reid, Daniel G.",collector,182
"Schiff, Jacob Henry",collector,183
Subsector 221-Utilities,subsector,192
"Subsector 523-Securities, Commodity Contracts, and Other Financial Investments and Related Activities",subsector,193
Subsector 482-Rail Transportation,subsector,194
"Subsector 335-Electrical Equipment, Appliance, and Component Manufacturing",subsector,195
Subsector 492-Couriers and Messengers,subsector,196
Subsector 311-Food Manufacturing,subsector,197
Subsector 236-Construction of Buildings,subsector,198
Subsector 522-Credit Intermediation and Related Activities,subsector,199
Subsector 212-Mining (except Oil and Gas),subsector,200
"Subsector 424-Merchant Wholesalers, Nondurable Goods",subsector,201
Subsector 622-Hospitals,subsector,202
Subsector 524-Insurance Carriers and Related Activities,subsector,203
"Subsector 921-Executive, Legislative, and Other General Government Support",subsector,204
Subsector 321-Wood Product Manufacturing,subsector,205
Subsector 333-Machinery Manufacturing,subsector,206
"Subsector 525-Funds, Trusts, and Other Financial Vehicles",subsector,207
Subsector 316-Leather and Allied Product Manufacturing,subsector,208
Subsector 483-Water Transportation,subsector,209
Subsector 332-Fabricated Metal Product Manufacturing,subsector,210
Subsector 519-Other Information Services,subsector,211
Subsector 517-Telecommunications,subsector,212
"Subsector 711-Performing Arts, Spectator Sports, and Related Industries",subsector,213
Subsector 453-Miscellaneous Store Retailers,subsector,214
Subsector 331-Primary Metal Manufacturing,subsector,215
"Subsector 541-Professional, Scientific, and Technical Services",subsector,216
Subsector 237-Heavy and Civil Engineering Construction,subsector,217
Subsector 531-Real Estate,subsector,218
Subsector 485-Transit and Ground Passenger Transportation,subsector,219
Subsector 325-Chemical Manufacturing,subsector,220
Subsector 313-Textile Mills,subsector,221
Subsector 211-Oil and Gas Extraction,subsector,222
Subsector 327-Nonmetallic Mineral Product Manufacturing,subsector,223
Subsector 115-Support Activities for Agriculture and Forestry,subsector,224
Subsector 112-Animal Production and Aquaculture,subsector,225
Subsector 113-Forestry and Logging,subsector,226
Subsector 511-Publishing Industries (except Internet),subsector,227
Subsector 315-Apparel Manufacturing,subsector,228
Subsector 336-Transportation Equipment Manufacturing,subsector,229
Subsector 238-Specialty Trade Contractors,subsector,230
Subsector 452-General Merchandise Stores,subsector,231
Subsector 322-Paper Manufacturing,subsector,232
"Subsector 712-Museums, Historical Sites, and Similar Institutions",subsector,233
Subsector 561-Administrative and Support Services,subsector,234
Subsector 721-Accommodation,subsector,235
Subsector 324-Petroleum and Coal Products Manufacturing,subsector,236
Subsector 312-Beverage and Tobacco Product Manufacturing,subsector,237
Subsector 611-Educational Services,subsector,238
"Subsector 711-Performing Arts, Spectator Sports, and Related Industries 543",subsector,239
Subsector 444-Building Material and Garden Equipment and Supplies Dealers,subsector,240
"Subsector 451-Sporting Goods, Hobby, Musical Instrument, and Book Stores",subsector,241
Subsector 512-Motion Picture and Sound Recording Industries,subsector,242
Subsector 326-Plastics and Rubber Products Manufacturing,subsector,243
"Subsector 423-Merchant Wholesalers, Durable Goods",subsector,244
Subsector 339-Miscellaneous Manufacturing,subsector,245
Subsector 493-Warehousing and Storage,subsector,246
Subsector 521-Monetary Authorities-Central Bank,subsector,247
Subsector 334-Computer and Electronic Product Manufacturing,subsector,248
Subsector 488-Support Activities for Transportation,subsector,249
Subsector 928-National Security and International Affairs,subsector,250
Subsector 624-Social Assistance,subsector,251
Subsector 111-Crop Production,subsector,252
Subsector 621-Ambulatory Health Care Services,subsector,253
"Subsector 813-Religious, Grantmaking, Civic, Professional, and Similar Organizations",subsector,254
"Subsector 922-Justice, Public Order, and Safety Activities",subsector,255
Subsector 445-Food and Beverage Retailers,subsector,256
