source_label,target_label,source,target
"Frick, Henry Clay (NY)",Metropolitan Museum of Art,74,184
"Gould, Helen",Metropolitan Museum of Art,153,184
"Gunsaulus, Dr. Frank W.",Art Institute of Chicago,140,186
"Harkness, Edward",Metropolitan Museum of Art,154,184
"Healy, Aaron Augustus",Brooklyn Museum of Art,155,187
"Hearn, George A.",Metropolitan Museum of Art,13,184
"Hearn, George A.",Brooklyn Museum of Art,13,187
"Hutchinson, William J.",Metropolitan Museum of Art,156,184
"Jewett, William Kennon",Metropolitan Museum of Art,157,184
"Johnson, John G.",Metropolitan Museum of Art,158,184
"Layton, Frederick",Art Institute of Chicago,101,186
"Lewisohn, Adolph",Metropolitan Museum of Art,159,184
"Martin, Bradley",Metropolitan Museum of Art,160,184
"McAlpin, David H.",Metropolitan Museum of Art,161,184
"Morgan, J. Pierpont, Jr.",Metropolitan Museum of Art,162,184
"Nickerson, Samuel M.",Art Institute of Chicago,163,186
"Ream, Norman B.",Art Institute of Chicago,164,186
"Rockefeller, William Avery Jr.",Metropolitan Museum of Art,119,184
"Roloson, Robert W.",Art Institute of Chicago,165,186
"Russel, Horace",Metropolitan Museum of Art,166,184
"Ryerson, Martin A.",Art Institute of Chicago,167,186
"Sloane, William Douglas",Metropolitan Museum of Art,124,184
"Spaulding, William S.","Museum of Fine Arts, Boston",168,188
"Spoor, John A.",Art Institute of Chicago,169,186
"Stillman, James",Metropolitan Museum of Art,129,184
"Terry, John T.",Metropolitan Museum of Art,130,184
"Tousey, Sinclair",Metropolitan Museum of Art,133,184
"Valentine, P.A.",Brooklyn Museum of Art,33,187
"Vanderbilt, Cornelius II",Metropolitan Museum of Art,136,184
"Vanderbilt, William Kissam",Metropolitan Museum of Art,170,184
"Walker, E. Chandler",Detroit Institute of Arts,171,189
"Walters, Henry",Metropolitan Museum of Art,172,184
"White, George Robert","Museum of Fine Arts, Boston",173,188
"Davis, Theodore M.",Metropolitan Museum of Art,65,184
"Lockwood, Luke Vincent",Metropolitan Museum of Art,174,184
"Reisinger, Hugo",Metropolitan Museum of Art,25,184
"Hoagland, Joseph Christoffel",Brooklyn Museum of Art,85,187
"Loeser, Frederick",Brooklyn Museum of Art,175,187
"De Silver, Carll H.",Brooklyn Museum of Art,176,187
"Blumenthal, George",Lotos Club,1,209
"Brookfield, William",Lotos Club,2,209
"Burrage, Albert C.",Lotos Club,3,209
"Clark, William Andrews",Lotos Club,4,209
"Clarke, Augustus W.",Lotos Club,5,209
"Connor, Washington Everett",Lotos Club,6,209
"De Lima, David A.",Lotos Club,7,209
"Fletcher, Isaac D.",Lotos Club,8,209
"Flower, Frederick, S.",Lotos Club,9,209
"Fry, John Hemming",Lotos Club,10,209
"Gardiner, George Schuyler",Lotos Club,11,209
"Harrison, Hugh H.",Lotos Club,12,209
"Hearn, George A.",Lotos Club,13,209
"Hearst, William Randolph",Lotos Club,14,209
"Heye, Dr. George G.",Lotos Club,15,209
"Humphreys, Dr. Alexander C.",Lotos Club,16,209
"Lambert, Catholina",Lotos Club,17,209
"Lawrence, Frank R.",Lotos Club,18,209
"Lehmaier, Louis A.",Lotos Club,19,209
"Lehman, Arthur",Lotos Club,20,209
"Mansfield, Burton",Lotos Club,21,209
"Merriam, William Rush",Lotos Club,22,209
"Obrig, Adolf",Lotos Club,23,209
"Reinhardt, Henry",Lotos Club,24,209
"Reisinger, Hugo",Lotos Club,25,209
"Ruppert, Jacob",Lotos Club,26,209
"Seligman, Henry",Lotos Club,27,209
"Seligman, Isaac Newton",Lotos Club,28,209
"Shepherd, James G.",Lotos Club,29,209
"Stern, Louis",Lotos Club,30,209
"Stransky, Josef",Lotos Club,31,209
"Tenney, Charles Henry",Lotos Club,32,209
"Valentine, P.A.",Lotos Club,33,209
"Widener, Peter A.B.",Lotos Club,34,209
"Woolworth, Frank Winfield",Lotos Club,35,209
"Adams, Edward D.",Union League Club,36,210
"Aitken, John W.",Union League Club,37,210
"Alger, Russel Alexander",Union League Club,38,210
"Allis, Charles",Union League Club,39,210
"Ames, Frederick Lothrop",Union League Club,40,210
"Ames, Oliver",Union League Club,41,210
"Andrews, William Loring",Union League Club,42,210
"Astor, John Jacob (III)",Union League Club,43,210
"Avery, Samuel Putnam",Union League Club,44,210
"Baker, George F.",Union League Club,45,210
"Bakewell, Allen Campbell",Union League Club,46,210
"Bangs, F.N.",Union League Club,47,210
"Bishop, Heber R.",Union League Club,48,210
"Borden, Matthew Challoner Durfee",Union League Club,49,210
"Bostwick, Jabez A.",Union League Club,50,210
"Brookfield, William",Union League Club,2,210
"Burrage, Albert C.",Union League Club,3,210
"Butler, Theron R.",Union League Club,51,210
"Carstairs, Charles Stewart",Union League Club,52,210
"Carstairs, John Haseltine",Union League Club,53,210
"Clark, William (Newark)",Union League Club,54,210
"Clarke, Thomas B.",Union League Club,55,210
"Closson, James T.",Union League Club,56,210
"Clyde, William P.",Union League Club,57,210
"Cochran, Thomas",Union League Club,58,210
"Coffin, Charles Albert",Union League Club,59,210
"Connor, Washington Everett",Union League Club,6,210
"Cook, Henry H.",Union League Club,60,210
"Crocker, Charles",Union League Club,61,210
"Curtis, George N.",Union League Club,62,210
"Curtis, William John",Union League Club,63,210
"Davenport, Ira",Union League Club,64,210
"Davis, Theodore M.",Union League Club,65,210
"Dick, Harris Brisbane",Union League Club,66,210
"Dun, Robert Graham",Union League Club,67,210
"Ellsworth, James W.",Union League Club,68,210
"Fahnestock, Harris Charles",Union League Club,69,210
"Field, Marshall",Union League Club,70,210
"Fiske, Josiah M.",Union League Club,71,210
"Flagler, Henry Morrison",Union League Club,72,210
"Fletcher, Isaac D.",Union League Club,8,210
"Foos, Lamar",Union League Club,73,210
"Frick, Henry Clay (NY)",Union League Club,74,210
"Fuller, William H.",Union League Club,75,210
"Gould, Frank Jay",Union League Club,76,210
"Graham, Malcolm",Union League Club,77,210
"Harbeck, Charles T.",Union League Club,78,210
"Harding, J. Horace",Union League Club,79,210
"Harper, Fletcher, Jr.",Union League Club,80,210
"Harper, Joseph Abner",Union League Club,81,210
"Hartley, Marcellus",Union League Club,82,210
"Hill, James N.",Union League Club,83,210
"Hine, Francis L.",Union League Club,84,210
"Hoagland, Joseph Christoffel",Union League Club,85,210
"Holmes, John Grier",Union League Club,86,210
"Horton, Henry Lawrence",Union League Club,87,210
"Hotchkiss, Horace L.",Union League Club,88,210
"Hoyt, Charles Albert",Union League Club,89,210
"Humphreys, Dr. Alexander C.",Union League Club,16,210
"Huntington, Collis P.",Union League Club,90,210
"Huntington, Henry Edwards",Union League Club,91,210
"Hyde, Clarence M.",Union League Club,92,210
"Hyde, Henry Baldwin",Union League Club,93,210
"Inglis, James Smith",Union League Club,94,210
"Ives, Brayton C.",Union League Club,95,210
"Jackson, Edwin E.",Union League Club,96,210
"Jennings, Frederick Beach",Union League Club,97,210
"King, David H., Jr.",Union League Club,98,210
"Kirby, Thomas E.",Union League Club,99,210
"Lambert, Catholina",Union League Club,17,210
"Lawrence, Cyrus I.",Union League Club,100,210
"Layton, Frederick",Union League Club,101,210
"Leighton, George E.",Union League Club,102,210
"Mather, Samuel",Union League Club,103,210
"McGarrah, G. W.",Union League Club,104,210
"Mellon, Andrew W.",Union League Club,105,210
"Milbank, Jeremiah",Union League Club,106,210
"Milliken, Seth Mellen",Union League Club,107,210
"Mills, Darius Ogden",Union League Club,108,210
"Moore, William Henry",Union League Club,109,210
"Morgan, J. Pierpont",Union League Club,110,210
"Oliver, George Tener",Union League Club,111,210
"Oliver, Henry W.",Union League Club,112,210
"Peavey, Frank Hutchinson",Union League Club,113,210
"Penfold, Edmund",Union League Club,114,210
"Peters, Samuel T.",Union League Club,115,210
"Raynor, James A.",Union League Club,116,210
"Riker, John Lawrence",Union League Club,117,210
"Roberts, Marshall O.",Union League Club,118,210
"Rockefeller, William Avery Jr.",Union League Club,119,210
"Roebling, Ferdinand W.",Union League Club,120,210
"Sabin, Charles H.",Union League Club,121,210
"Salter, Thomas P.",Union League Club,122,210
"Schwab, Charles M.",Union League Club,123,210
"Shepherd, James G.",Union League Club,29,210
"Sloane, William Douglas",Union League Club,124,210
"Smith, Charles Stewart",Union League Club,125,210
"Smith, Theodore E.",Union League Club,126,210
"Stanford, Leland",Union League Club,127,210
"Stewart, Lispenard",Union League Club,128,210
"Stillman, James",Union League Club,129,210
"Tenney, Charles Henry",Union League Club,32,210
"Terry, John T.",Union League Club,130,210
"Thomas, Seth Edward",Union League Club,131,210
"Thorne, Samuel P.",Union League Club,132,210
"Tousey, Sinclair",Union League Club,133,210
"Tuckerman, Lucius",Union League Club,134,210
"Valentine, Lawson",Union League Club,135,210
"Valentine, P.A.",Union League Club,33,210
"Vanderbilt, Cornelius II",Union League Club,136,210
"Ward, Leslie Dodd",Union League Club,137,210
"Warren, John Hobart",Union League Club,138,210
"Willets, Howard",Union League Club,139,210
"Woolworth, Frank Winfield",Union League Club,35,210
"Gunsaulus, Dr. Frank W.",Union League Club,140,210
